 Year,month,temp,rainfall,CO2,methane
1991,1,16.6354,11.8792,658189.83,520959
1991,2,19.988,12.3276,658189.83,520959
1991,3,24.1397,13.4113,658189.83,520959
1991,4,27.3468,41.9814,658189.83,520959
1991,5,30.196,55.3486,658189.83,520959
1991,6,28.9012,175.103,658189.83,520959
1991,7,27.5837,221.356,658189.83,520959
1991,8,26.2658,246.72,658189.83,520959
1991,9,26.3993,131.845,658189.83,520959
1991,10,24.5756,58.2944,658189.83,520959
1991,11,20.704,37.7129,658189.83,520959
1991,12,17.6205,11.6599,658189.83,520959
1992,1,16.8967,13.3135,699087.881,524521
1992,2,18.4606,14.8104,699087.881,524521
1992,3,23.9634,10.5157,699087.881,524521
1992,4,27.6134,14.0558,699087.881,524521
1992,5,29.4888,48.2371,699087.881,524521
1992,6,29.8146,94.4788,699087.881,524521
1992,7,27.5217,213.227,699087.881,524521
1992,8,26.2128,247.15,699087.881,524521
1992,9,25.849,163.742,699087.881,524521
1992,10,24.6181,56.6009,699087.881,524521
1992,11,21.0125,36.839,699087.881,524521
1992,12,17.7512,3.47422,699087.881,524521
1993,1,17.4066,7.08936,723697.118,529117
1993,2,20.161,13.8096,723697.118,529117
1993,3,22.7104,22.6534,723697.118,529117
1993,4,27.3808,22.8153,723697.118,529117
1993,5,30.2519,59.0899,723697.118,529117
1993,6,29.8513,149.555,723697.118,529117
1993,7,27.2065,243.939,723697.118,529117
1993,8,26.7793,180.132,723697.118,529117
1993,9,26.1173,195.789,723697.118,529117
1993,10,25.0173,74.8534,723697.118,529117
1993,11,21.3824,22.3395,723697.118,529117
1993,12,17.866,13.1382,723697.118,529117
1994,1,17.9173,20.7536,764730.848,535828
1994,2,19.1266,17.6468,764730.848,535828
1994,3,24.815,13.4268,764730.848,535828
1994,4,27.0488,34.6886,764730.848,535828
1994,5,30.5279,46.0465,764730.848,535828
1994,6,29.1377,170.217,764730.848,535828
1994,7,26.5035,320.451,764730.848,535828
1994,8,26.213,264.373,764730.848,535828
1994,9,26.0887,135.528,764730.848,535828
1994,10,24.536,83.6267,764730.848,535828
1994,11,20.9812,24.4985,764730.848,535828
1994,12,17.6071,5.48352,764730.848,535828
1995,1,16.0943,24.915,811562.105,542270
1995,2,19.6104,16.8758,811562.105,542270
1995,3,23.2333,21.114,811562.105,542270
1995,4,27.2676,20.2405,811562.105,542270
1995,5,29.9743,48.1721,811562.105,542270
1995,6,30.616,127.382,811562.105,542270
1995,7,27.4274,286.934,811562.105,542270
1995,8,26.7316,247.981,811562.105,542270
1995,9,26.4964,176.858,811562.105,542270
1995,10,25.3055,75.5371,811562.105,542270
1995,11,21.2558,27.4295,811562.105,542270
1995,12,18.321,3.98088,811562.105,542270
1996,1,17.7644,16.6447,882324.204,547580
1996,2,20.0235,13.0873,882324.204,547580
1996,3,25.0212,16.1319,882324.204,547580
1996,4,27.7881,34.9378,882324.204,547580
1996,5,30.2601,45.8161,882324.204,547580
1996,6,29.3297,169.76,882324.204,547580
1996,7,27.384,233.514,882324.204,547580
1996,8,26.0302,253.446,882324.204,547580
1996,9,26.4419,135.761,882324.204,547580
1996,10,24.4325,97.1727,882324.204,547580
1996,11,20.9589,12.9886,882324.204,547580
1996,12,17.6474,8.436,882324.204,547580
1997,1,16.5527,9.97814,917685.085,550939
1997,2,18.8461,4.25303,917685.085,550939
1997,3,23.9917,16.5465,917685.085,550939
1997,4,26.2715,41.4989,917685.085,550939
1997,5,29.0944,41.206,917685.085,550939
1997,6,28.982,147.688,917685.085,550939
1997,7,27.5061,211.289,917685.085,550939
1997,8,26.5325,274.543,917685.085,550939
1997,9,26.2598,150.846,917685.085,550939
1997,10,24.0732,59.2649,917685.085,550939
1997,11,21.5037,58.778,917685.085,550939
1997,12,17.593,35.0635,917685.085,550939
1998,1,17.3313,7.13527,936221.77,553240
1998,2,19.9049,18.4381,936221.77,553240
1998,3,23.2213,25.6106,936221.77,553240
1998,4,28.2332,37.7973,936221.77,553240
1998,5,30.9213,52.342,936221.77,553240
1998,6,30.3115,133.287,936221.77,553240
1998,7,27.5315,267.058,936221.77,553240
1998,8,27.0264,244.708,936221.77,553240
1998,9,26.6536,183.634,936221.77,553240
1998,10,25.4809,103.845,936221.77,553240
1998,11,21.6602,42.693,936221.77,553240
1998,12,17.8909,11.2335,936221.77,553240
1999,1,16.8035,9.27938,995766.516,571165
1999,2,20.6204,12.4133,995766.516,571165
1999,3,24.7059,3.69573,995766.516,571165
1999,4,28.9633,16.1964,995766.516,571165
1999,5,29.7694,70.4075,995766.516,571165
1999,6,28.842,139.2,995766.516,571165
1999,7,27.153,247.489,995766.516,571165
1999,8,26.5319,206.223,995766.516,571165
1999,9,26.4732,177.704,995766.516,571165
1999,10,25.1517,101.431,995766.516,571165
1999,11,21.8239,13.1463,995766.516,571165
1999,12,18.168,4.0199,995766.516,571165
2000,1,17.745,8.59847,1031853.463,561733
2000,2,18.8801,18.9029,1031853.463,561733
2000,3,23.3894,10.2599,1031853.463,561733
2000,4,28.8589,30.2531,1031853.463,561733
2000,5,29.9904,72.1259,1031853.463,561733
2000,6,28.6751,168.978,1031853.463,561733
2000,7,26.9515,251.857,1031853.463,561733
2000,8,26.7808,225.712,1031853.463,561733
2000,9,26.42,125.34,1031853.463,561733
2000,10,25.8024,42.3882,1031853.463,561733
2000,11,21.9724,13.011,1031853.463,561733
2000,12,18.2372,6.28185,1031853.463,561733
2001,1,17.4562,6.57839,1041152.975,568476
2001,2,20.4941,4.5529,1041152.975,568476
2001,3,24.2386,13.2803,1041152.975,568476
2001,4,27.7312,31.7141,1041152.975,568476
2001,5,30.3462,70.0352,1041152.975,568476
2001,6,28.3314,191.391,1041152.975,568476
2001,7,26.9426,233.962,1041152.975,568476
2001,8,26.762,202.084,1041152.975,568476
2001,9,27.0471,90.1215,1041152.975,568476
2001,10,25.5145,86.7518,1041152.975,568476
2001,11,22.0779,18.1916,1041152.975,568476
2001,12,18.6419,5.78814,1041152.975,568476
2002,1,17.3741,11.7912,1054258.833,565939
2002,2,20.0734,12.6089,1054258.833,565939
2002,3,24.7126,13.9224,1054258.833,565939
2002,4,28.7402,32.3726,1054258.833,565939
2002,5,30.9648,51.9638,1054258.833,565939
2002,6,29.5096,154.461,1054258.833,565939
2002,7,28.1199,133.503,1054258.833,565939
2002,8,26.5609,236.6,1054258.833,565939
2002,9,26.2396,120.785,1054258.833,565939
2002,10,25.4504,64.4428,1054258.833,565939
2002,11,21.6592,24.7672,1054258.833,565939
2002,12,18.9621,5.18433,1054258.833,565939
2003,1,17.4519,7.40051,1099597.621,575287
2003,2,20.155,30.5634,1099597.621,575287
2003,3,23.8319,17.8057,1099597.621,575287
2003,4,28.6383,26.8411,1099597.621,575287
2003,5,30.2158,27.9507,1099597.621,575287
2003,6,30.1649,149.982,1099597.621,575287
2003,7,27.1043,292.677,1099597.621,575287
2003,8,26.7259,196.482,1099597.621,575287
2003,9,26.2739,149.575,1099597.621,575287
2003,10,25.0117,90.3734,1099597.621,575287
2003,11,21.6858,12.9583,1099597.621,575287
2003,12,18.1301,9.18084,1099597.621,575287
2004,1,17.2442,15.1739,1154320.262,577716
2004,2,19.8861,3.58617,1154320.262,577716
2004,3,25.857,7.44911,1154320.262,577716
2004,4,28.9461,41.7275,1154320.262,577716
2004,5,30.0187,61.4734,1154320.262,577716
2004,6,28.7783,169.653,1154320.262,577716
2004,7,27.6141,181.622,1154320.262,577716
2004,8,26.4586,242.603,1154320.262,577716
2004,9,26.9039,143.7,1154320.262,577716
2004,10,24.4053,83.9595,1154320.262,577716
2004,11,21.5748,14.8435,1154320.262,577716
2004,12,18.7432,4.21668,1154320.262,577716
2005,1,17.3756,15.6107,1222563.132,584676
2005,2,19.8224,13.5577,1222563.132,584676
2005,3,24.499,25.3027,1222563.132,584676
2005,4,27.6443,29.9083,1222563.132,584676
2005,5,29.6307,45.292,1222563.132,584676
2005,6,30.4226,126.956,1222563.132,584676
2005,7,27.1435,243.22,1222563.132,584676
2005,8,26.9353,180.217,1222563.132,584676
2005,9,26.5755,211.371,1222563.132,584676
2005,10,24.8287,93.7128,1222563.132,584676
2005,11,20.9738,19.0909,1222563.132,584676
2005,12,17.6351,8.8354,1222563.132,584676
2006,1,17.8886,5.58405,1303717.509,589705
2006,2,21.7129,4.252,1303717.509,589705
2006,3,23.7783,33.8217,1303717.509,589705
2006,4,27.9277,49.7575,1303717.509,589705
2006,5,30.3561,71.3447,1303717.509,589705
2006,6,29.1346,130.572,1303717.509,589705
2006,7,27.3209,287.882,1303717.509,589705
2006,8,26.4807,255.353,1303717.509,589705
2006,9,26.6491,180.838,1303717.509,589705
2006,10,25.5502,69.2117,1303717.509,589705
